Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page
Militär-Putsch in Burkina Faso,25012022_09:13,https://www.sueddeutsche.de/politik/militaer-putsch-in-burkina-faso-1.5514668,,,,"Video
                    
                    
                        Die Grenzen des Landes blieben für mindestens vier Tage geschlossen, zudem gilt eine nächtliche Ausgangssperre.",25012022,Sueddeutsche
Grüne kritisieren Fehlen von Solaranlagen,25012022_09:13,https://www.sueddeutsche.de/wirtschaft/bau-hannover-gruene-kritisieren-fehlen-von-solaranlagen-dpa.urn-newsml-dpa-com-20090101-220125-99-840765,Bau - Hannover,dpa,,,25012022,Sueddeutsche
Franken sucht wieder neue Weinkönigin,25012022_09:11,https://www.sueddeutsche.de/bayern/agrar-wuerzburg-franken-sucht-wieder-neue-weinkoenigin-dpa.urn-newsml-dpa-com-20090101-220125-99-840749,Agrar - Würzburg,dpa,,,25012022,Sueddeutsche
California Dreamin',25012022_09:11,https://www.sueddeutsche.de/kultur/licorice-pizza-paul-thomas-anderson-rezension-1.5514667,"""Licorice Pizza"" von Paul Thomas Anderson im Kino",,Von Tobias Kniebe,"Die Liebeskomödie ""Licorice Pizza"" ist einer der schönsten Filme des Jahres und ein Gegengift für pandemische Depressionsgefühle.
                        
                            Von Tobias Kniebe",25012022,Sueddeutsche
"Walter über Zuschauerbeschränkung: ""Mal die Augen aufmachen""",25012022_09:09,https://www.sueddeutsche.de/sport/fussball-hamburg-walter-ueber-zuschauerbeschraenkung-mal-die-augen-aufmachen-dpa.urn-newsml-dpa-com-20090101-220125-99-840688,Fußball - Hamburg,dpa,,,25012022,Sueddeutsche
HSV-Handballer setzen Training nach positiven Tests aus,25012022_09:06,https://www.sueddeutsche.de/sport/handball-hamburg-hsv-handballer-setzen-training-nach-positiven-tests-aus-dpa.urn-newsml-dpa-com-20090101-220125-99-840689,Handball - Hamburg,dpa,,,25012022,Sueddeutsche
Im Norden mehr Sonnen- als Windstromleistung angeschlossen,25012022_09:01,https://www.sueddeutsche.de/wirtschaft/energie-quickborn-im-norden-mehr-sonnen-als-windstromleistung-angeschlossen-dpa.urn-newsml-dpa-com-20090101-220125-99-838443,Energie - Quickborn,dpa,,,25012022,Sueddeutsche
Dreifachmord: Prozess gegen Zahnarzt beginnt im Februar,25012022_08:59,https://www.sueddeutsche.de/panorama/prozesse-westensee-dreifachmord-prozess-gegen-zahnarzt-beginnt-im-februar-dpa.urn-newsml-dpa-com-20090101-220125-99-840574,Prozesse - Westensee,dpa,,,25012022,Sueddeutsche
Hamburg zahlt mehr Geld in den Finanzausgleich,25012022_08:51,https://www.sueddeutsche.de/politik/bundeslaender-hamburg-hamburg-zahlt-mehr-geld-in-den-finanzausgleich-dpa.urn-newsml-dpa-com-20090101-220125-99-840516,Bundesländer - Hamburg,dpa,,,25012022,Sueddeutsche
Möbelversandhändler Home24 verfehlt Umsatzziel,25012022_08:47,https://www.sueddeutsche.de/wirtschaft/moebel-berlin-moebelversandhaendler-home24-verfehlt-umsatzziel-dpa.urn-newsml-dpa-com-20090101-220125-99-840408,Möbel - Berlin,dpa,,,25012022,Sueddeutsche
